"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Aerobic Intervals","Bike","","2","","2022-11-01","","63435.94140625","148","298","1160.55"," *11/02/2022 Pawel Migdal: 30 mins ""Warm-up"" + 10 + mins @165 1.4mmol 30 min @ 165 0.9 2 x 5 mins @ 185 1.2 2 x 5 mins @ 195 1.3*","2.16540908813477","8.13700008392334","","73","","142","164","","","0.678232941466885","91.95","4","104","22","0","0","","","","","","94","27","8","0","0","","","","","","",""
"Aerobic Swim","Swim","","0.5","1000","2022-11-02","","1300","","","","","0.536676387257046","0.670103092783505","","23","","","","","","0.807438791089917","28.25","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2022-11-02","","0","","","","","0.433170855045319","0","","","","86","110","","","0.546785777202083","14.06","","","","","","","","","","","","","","","","","","","","","",""
"Z1 Spinout","Bike","","1","","2022-11-03","","30884.30078125","141","314","535.963","","1.05241632461548","8.15100002288818","","78","","140","159","","","0.617877565247931","37.95","1","60","1","0","0","","","","","","63","0","0","0","0","","","","","","3","3"
"Aerobic Long Run","Run","","1.33333333333333","","2022-11-03","","13106.73046875","","","","","1.28400027751923","2.83500003814697","","173","","153","178","","","0.692595650027782","68.65","63","9","5","0","0","","","","","","","","","","","","","","","","3","3"
"Aerobic Swim","Swim","","0.666666666666667","1500","2022-11-04","","1400","","","","","0.492044447263082","0.786075238629983","","24","","","","","","0.948423804520963","41.98","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","2","","2022-11-05","","63972.140625","152","283","1165.321","","2.11782908439636","8.39000034332275","","75","","142","158","","","0.68075403325297","92.77","4","118","5","0","0","","","","","","98","27","1","0","0","","","","","","5","7"
"Run of the Bike","Run","","0.5","5000","2022-11-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","2","","2022-11-06","","31081.859375","143","277","517.624","","1.00527775287628","8.58800029754639","","79","","137","151","","","0.615517884342843","37.81","0","60","0","0","0","","","","","","59","1","0","0","0","","","","","","",""
"Run of the Bike","Run","","0.5","5000","2022-11-06","","6026.81005859375","","","","","0.607355535030365","2.75600004196167","","171","","150","159","","","0.670419161993725","29.87","36","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Intervals","Run","","1","","2022-11-07","","10080.9599609375","","","","","0.988421976566315","2.83299994468689","","174","","154","162","","","0.69181332221285","52.4","55","4","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Swim","Swim","","0.666666666666667","1400","2022-11-07","","1600","","","","","0.617560836474101","0.716524854455889","","23","","","","","","0.86361262216423","39.78","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Intervals","Bike","","2.66666666666667","","2022-11-08","","73479.6171875","147","328","1280.718","","2.41853070259094","8.43900012969971","","77","","140","156","","","0.660250517623776","101.78","3","134","8","0","0","","","","","","113","29","3","0","0","","","","","","",""
"Aerobic Swim","Swim","","0.666666666666667","1700","2022-11-09","","1700","","","","","0.613295833269755","0.765420981539847","","23","","","","","","0.923969536276665","48.38","","","","","","","","","","","","","","","","","","","","","",""
"Z1 Spinout","Bike","","1.33333333333333","","2022-11-10","","32501.919921875","149","277","606.724","","1.12949919700623","7.99300003051758","","69","","141","162","","","0.682433777511195","46.48","5","45","17","0","0","","","","","","48","19","1","0","0","","","","","","",""
"Aerobic Long Run","Run","","1.41666666666667","","2022-11-10","","15221.740234375","","","","","1.41702771186829","2.98399996757507","","174","","160","177","","","0.729327245900506","84.22","30","45","9","0","0","","","","","","","","","","","","","","","","5","3"
"Aerobic Swim","Swim","","0.666666666666667","1600","2022-11-11","","1650","","","","","0.561113891071743","0.815217391304348","","25","","","","","","0.980193163547394","52.84","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1.75","","2022-11-12","","50152.2890625","142","266","901.644","","1.75333333015442","7.94500017166138","","78","","141","156","","","0.613675145549974","65.73","0","103","2","0","0","","","","","","103","2","0","0","0","","","","","","",""
"Run of the Bike","Run","","0.5","","2022-11-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","2","","2022-11-13","","63054.1015625","148","277","1184.47"," *03/15/2023 Pawel Migdal: 190 2.1 185 1.7 185 1.6 185 2.0*","2.20978260040283","7.92600011825562","","75","","136","159","","","0.706156093662794","99.81","8","113","10","0","0","","","","","","77","44","10","0","0","","","","","","",""
"Run of the Bike","Run","","0.583333333333333","","2022-11-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
