"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Speed Workout Bike","Bike","Warm Up: 10 mins easy Z2, 5 x (10 secs in Z4-5 + 50 secs easy in Z2). Main Set: 5 x (3 mins in upper Z4 + 3 min recoveries in low Z2). Warm Down: 5 mins in Z2.","0.833333333333333","","2022-01-17","","20307.5","181","376","547.271","","0.836388885974884","6.74399995803833","","85","","158","181","","","0.793330932023498","52.05","0","13","24","12","0","","","","","","9","24","2","14","2","","","","","","",""
"Pool Swim: Aerobic Endurance","Swim","Warm Up: 1 x (100 FS Breathe every 3 in Z2 + 5 secs rest), 1 x (100 Pull in Z2 + 100 Drill* in Z2 + 5 secs rest), 1 x (100 FS Breathe every 5 in Z2 + 5 secs rest). Main Set: 2 x (200 FS in Z2 + 50 FS in Z4 + 5 sec rests), 2 x (200 Pull in Z2 + 100 FS in Z3 + 5 sec rests), 2 x (50 FS in Z2 + 50 FS in Z4 + 5 sec rests), 1 x (100 Pull in Z2 + 50 FS in Z4 + 5 secs rest). Warm Down: 1 x (150 Choice in Z2).","0.811388888888889","2000","2022-01-17","*Swim Drills: For swim sets that include 'Drills' please refer to the article below. It will help you select the swim Drills that are most relevant to you and will improve your technique. https://myprocoach-help.zendesk.com/hc/en-us/articles/360023124211 For How to Follow Your Swim Workouts: https://myprocoach-help.zendesk.com/hc/en-us/articles/360022874592 You will need to have entered your CSS into your TrainingPeaks settings (see below) to see the planned distance and duration for all swim workouts. https://myprocoach-help.zendesk.com/hc/en-us/articles/360003873972-Determine-Your-Training-Zones-Swim For all swims (whether in a Yard or Meter Pool) follow the distances in the Workout Description section. There is also yard/meter button you can toggle in the Workout Details section below.","1000","","","","","0.37553000026279","0.734214390602056","","22","","","","","","0.983794754575967","35.76","","","","","","","","","","","","","","","","","","","","","",""
"Prep Phase 1: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Alternate Lunge: 2 x 8 (Exercise 5) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Reverse Lunge: 2 x 6 (Exercise 6) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Push Up: 2 x 12 (Exercise 13) 7. Glute Bridge: 2 x 12 (Exercise 18) 8. Bird Dog: 2 x 7 (Exercise 19) 9. Plank: 2 reps (Exercise 21) 10. Reverse Crunch: 2 x 12 (Exercise 28) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2022-01-18","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.370167791843414","0","","","","95","114","","","0.568132841308851","12.92","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Speed Workout Run","Run","Warm Up: 10 mins easy in Z2, 5 x (20 secs in Z5 + 40 sec recoveries in Z1). Main Set: 7 x (1 min in Z4-5 + 2 min recoveries in Z1-2). Warm Down: 5 mins easy, slow jog in Z2.","0.683333333333333","","2022-01-18","","7205.169921875","","","","","0.683779954910278","2.92700004577637","","88","","161","182","","","0.771670565597936","44.67","2","5","16","15","2","","","","","","","","","","","","","","","","",""
"Pool Swim: Speed Endurance","Swim","Warm Up: 1 x (100 FS in Z2 + 100 Kick in Z2 + 5 secs rest), 1 x (100 Drill* in Z2 + 100 Pull in Z2 + 5 secs rest). Main Set: 3 x (100 Pull in Z2 + 100 FS in Z3 + 5 sec rests), 3 x (100 Pull in Z2 + 100 FS in Z4 + 10 sec rests), 3 x (100 Pull in Z2 + 100 FS in Z5 + 15 sec rests). Warm Down: 2 x (50 FS in Z2 + 50 Choice in Z2).","0.964444444444444","2400","2022-01-19","*Swim Drills: For swim sets that include 'Drills' please refer to the article below. It will help you select the swim Drills that are most relevant to you and will improve your technique. https://myprocoach-help.zendesk.com/hc/en-us/articles/360023124211 For How to Follow Your Swim Workouts: https://myprocoach-help.zendesk.com/hc/en-us/articles/360022874592 You will need to have entered your CSS into your TrainingPeaks settings (see below) to see the planned distance and duration for all swim workouts. https://myprocoach-help.zendesk.com/hc/en-us/articles/360003873972-Determine-Your-Training-Zones-Swim For all swims (whether in a Yard or Meter Pool) follow the distances in the Workout Description section. There is also yard/meter button you can toggle in the Workout Details section below.","1000","","","","","0.346978890101115","0.792393026941363","","24","","","","","","1.06474617039896","41.88","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Ride","Bike","Warm Up: 5 mins in low Z2, 5 mins in mid Z2. Main Set: 2, 3, 5, 6, 6, 5, 3, 2 mins all in upper Z2 + 60 sec recoveries in low Z2. Warm Down: 5 mins in mid Z2.","0.9","","2022-01-20","","26952.189453125","163","393","536.952","","0.90984058380127","8.22799968719482","","84","","153","163","","","0.66787448512292","39.88","0","14","40","0","0","","","","","","5","47","2","0","0","","","","","","",""
"Prep Phase 1: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Step Up: 2 x 7 (Exercise 7) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Lat & Front Raise Combo: 2 x 8 (Exercise 11) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Dumbbell Pullover: 2 x 12 (Exercise 15) 7. Tricep Dip: 2 x 10 (Exercise 17) 8. Lying Hip Abduction: 2 x 10 (Exercise 20) 9. Plank: 2 reps (Exercise 21) 10. Spider Climber: 2 x 7 (Exercise 25) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2022-01-20","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.442900568246841","0","","","","92","113","","","0.5632666875087","15.25","","","","","","","","","","","","","","","","","","","","","",""
"VIDEO: Exporting Your Workouts","Custom","Exporting Your Workouts https://bit.ly/ExportWorkouts Check this article for TrainingPeaks: http://bit.ly/StructuredWorkoutExport And our Help Centre Guide: http://bit.ly/SyncYourDevice","","","2022-01-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","","","","2022-01-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Ride","Bike","Ride mainly in Z2.","2.25","","2022-01-22","Phil’s Training Tip: Riding indoors is a little harder than riding outside, because there is no momentum, freewheeling or stops. For this reason, when you are on the trainer you can reduce the long weekend sessions by 10-15% and you'll get close to the same benefit as riding the full duration outside.","56222.33984375","161","347","1335.054","","2.29833340644836","6.79500007629395","","82","","0","0","","","0.646069364769509","95.88","","","","","","","","","","","5","129","4","0","0","","","","","","",""
