"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Lap Swimming","Swim","","","","2022-01-03","","750","","","","","0.259660557111104","0.795334040296925","","23","","125","158","","","1.08314486855105","33","14","0","0","0","0","","","","","","","","","","","","","","","","",""
"Speed Workout Run","Run","Warm Up: 10 mins easy Z2. 3 x (30 secs in Z4 + 30 sec recoveries in Z1). Main Set: 3 x (3 mins in Z4 + 4 mins in Z2), 2 mins in Z5. Warm Down: 5 mins in Z2.","0.683333333333333","","2022-01-04","","7573.83984375","","","","","0.68373304605484","3.07699990272522","","89","","164","182","","","0.857497209224546","55.16","5","0","19","9","6","","","","","","","","","","","","","","","","",""
"Fitness Test: FTP and Threshold HR","Bike","This fitness test helps you to set your power or heart rate thresholds for Training Peaks. Warm Up: 12 mins in Z2, 5 x (15 secs in Z4 + 45 secs easy in Z2). Main Set: 20 mins maximal steady state time trial. Go as hard as you can sustain for 20-minutes. Warm Down: 5 mins in Z2. NOTES: 1/ Alternatively, if you have a bike training device with its own ""FTP"" test protocol, you could use that instead. 2/ If using a smart trainer (for example a Wahoo Kickr), DO NOT use ERG mode for this test. https://myprocoach-help.zendesk.com/hc/en-us/articles/360022308391-Erg-Mode-On-or-Off- TIP: Have a fan and/or air conditioning, so that heat stress is not a limiting factor for this test.","0.7","","2022-01-05","FUNCTIONAL THRESHOLD POWER (FTP) Take your average power for the 20-minute test and multiply it by 95% for your FTP. THRESHOLD HEART RATE (THR) Take your average HR for the 20-minute test and reduce by 6 beats, this is your bike THR. ENTER THRESHOLDS AND ZONES Check this article and short video to enter your thresholds and training zones into your TrainingPeaks settings: https://bit.ly/EnterBikeZones RATE OF PERCEIVED EXERTION (RPE) To ride to feel (RPE), complete the test and note the distance. Use this to track progress in future tests. Click this link for more details of this fitness test: https://myprocoach-help.zendesk.com/hc/en-us/articles/360001077251-Bike-Field-Test-FTP-Threshold-HR","23057.51953125","193","306","512.289","","0.736111104488373","8.69999980926514","","87","","143","153","","","0.667819962547542","32.52","1","19","24","0","0","","","","","","3","40","2","0","0","","","","","","",""
"Rest Day","Day Off","Allows for recovery whilst promoting adaptation to previous training stresses. Helps you get faster and keep injuries at bay.","","","2022-01-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIDEO: Moving your Workouts Around","Custom","Moving Your Workouts Around: https://bit.ly/MovingWorkoutsAround","","","2022-01-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pool Swim: Speed Endurance","Swim","These swims involve effort at or above race pace, with regular recoveries. They will build your sustainable speed for race day. Warm Up: 1 x (100 FS in Z2 + 100 Kick in Z2 + 5 secs rest), 1 x (100 Drill* in Z2 + 100 Pull in Z2 + 5 secs rest). Main Set: 3 x (100 Pull in Z2 + 100 FS in Z3 + 5 sec rests), 3 x (100 Pull in Z2 + 100 FS in Z4 + 10 sec rests), 2 x (100 Pull in Z2 + 100 FS in Z5 + 15 sec rests). Warm Down: 2 x (50 FS in Z2 + 50 Choice in Z2).","0.897777777777778","2200","2022-01-06","*Swim Drills: For swim sets that include 'Drills' please refer to the article below. It will help you select the swim Drills that are most relevant to you and will improve your technique. https://myprocoach-help.zendesk.com/hc/en-us/articles/360023124211 For How to Follow Your Swim Workouts: https://myprocoach-help.zendesk.com/hc/en-us/articles/360022874592 You will need to have entered your CSS into your TrainingPeaks settings (see below) to see the planned distance and duration for all swim workouts. https://myprocoach-help.zendesk.com/hc/en-us/articles/360003873972-Determine-Your-Training-Zones-Swim For all swims (whether in a Yard or Meter Pool) follow the distances in the Workout Description section. There is also yard/meter button you can toggle in the Workout Details section below.","1500","","","","","0.57903472132153","0.71360608943863","","21","","125","145","","","0.971444335352131","53.08","33","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Ride","Bike","Ride at an easy/steady intensity, mainly in Z2 today. You should be able to chat at this intensity. This ride will improve your efficiency for using fat for fuel and increase your ability to transport oxygen to your working muscles.","2.25","","2022-01-08","Phil’s Training Tip: When you're exercising for longer than about 1 hour 20 you need to consume carbohydrate during your workouts to stop your energy levels from dropping too much. Aim for the equivalent of an energy gel every 30 minutes for training. It doesn't even have to be an ""energy"" product. You could have a cereal bar, a banana, a sugary drink or whatever you like. It just needs to consist mainly of carbohydrate. And water is fine for hydration.","15983.4599609375","142","284","414.366","","0.807241141796112","5.5","","62","","139","157","","","0.541451030143248","19.82","6","17","27","0","0","","","","","","28","31","0","0","0","","","","","","",""
"Easy Run","Run","A nice steady run in Z2. You can do these runs off the bike if you have time. If not, do them separately.","0.5","","2022-01-08","Phil’s Training Tip: Don't panic if you cannot complete 100% of your workouts. Do your best to stick to your plan, while accepting that occasionally life gets in the way. Following a plan will help you train more effectively than not having a plan at all. Do your best with whatever time and resources you have, and don't give up. Don't worry about one bad week, it’s what you do consistently over a period of months that counts.","5016.81005859375","","","","","0.511335551738739","2.72499990463257","","88","","157","168","","","0.783522650402038","34.2","1","2","28","0","0","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2022-01-08","","0","175","356","991.288","","1.58438086509705","0","","85","","152","164","","","0.612673892205369","59.33","2","5","88","0","0","","","","","","13","78","4","0","0","","","","","","",""
"Aerobic Endurance Run","Run","A steady run, mainly in Z1-Z2. You should be able to chat at this intensity. This is your long run for the week and it will progress in duration. They will gradually build your endurance.","0.833333333333333","","2022-01-09","Phil's Training Tip: Your pace on these runs will depend on several factors, such as the terrain, elevation and conditions. Try not to get too worried about sticking to a set pace. Heart Rate or Rate of Perceived Exertion can work well instead, helping you to listen to your body.","11009.2998046875","","","","","1.47719705104828","2.0699999332428","","79","","147","168","","","0.617123952193133","62.93","39","23","26","0","0","","","","","","","","","","","","","","","","",""
