"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Aerobic Intervals","Run","","1","","2023-01-02","","10035.76953125","94","102","355.266","","1.05301415920258","2.6470000743866","","173","","148","158","","","0.693096029277529","56.11","63","0","0","0","0","","","","","","","","","","","","","","","","","5"
"Aerobic Swim","Swim","Use fins and snorkel for entire warm up 200m freestyle (with fins) 4x50 of Fiddle Faddle Drill Swap paddle and fins to the other side after 2x50's. Feel for the cross-connection across the body 4x50 of 25 Single Arm (Kick Timing) Drill / 25 Swim Take a lot of time during the reach phase of the stroke so you can lengthen through your upper body and arm to help with the serape effect. Focus on kicking at the correc time on each leg 4x50 freestyle (focused on catch and kick going together on the same side) Total: 800m Workout #1 This set is focused solely on keeping the kick and catch timing as you increase in speed. 30x50 Build 1-3 (60/70/80%) w/ 0:20 SR 100 easy recovery Total: 1.6km","","2400","2023-01-02","","1800","","","","","0.587402779261271","0.845864661654135","","24","","","","","","0.826535584160679","33.17","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Intervals","Bike","","2.26666666666667","","2023-01-03","","74089.2109375","163","384","1341.593","","2.28083324432373","9.02299976348877","","82","","147","162","","","0.757447238830874","130.68","0","85","51","0","0","","","","","","64","63","9","0","0","","","","","","",""
"Aerobic Swim","Swim","Use fins and snorkel for entire warm up 200m freestyle (with fins) 4x50 of Fiddle Faddle Drill Swap paddle and fins to the other side after 2x50's. Feel for the cross-connection across the body 4x50 of 25 Single Arm (Kick Timing) Drill / 25 Swim Take a lot of time during the reach phase of the stroke so you can lengthen through your upper body and arm to help with the serape effect. Focus on kicking at the correc time on each leg 4x50 freestyle (focused on catch and kick going together on the same side) Total: 800m Workout #2 This starts out very easy so you can relax and settle into a comfortable rhythm. As you increase your speed, try to keep that similar rhythm and just increase your cadence slightly to swim faster. 3 sets of: 200 @ 60% w/ 1:00 SR 100 @ 70% w/ 0:45 SR 4x50 as 25 fast / 25 easy w/ 0:30 SR 100 swim down easy Total: 1.6km","1","2400","2023-01-04","","2000","","","","","0.667135003937615","0.827472072817542","","23","","","","","","0.808614109302733","35.27","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Swim","Swim","","0.666666666666667","1600","2023-01-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z1 Spinout","Bike","","1","","2023-01-05","","40075.98046875","137","315","691.813","","1.39801740646362","7.96199989318848","","80","","138","152","","","0.653017988621515","56.14","4","80","0","0","0","","","","","","82","2","0","0","0","","","","","","",""
"Aerobic Long Run","Run","","1","","2023-01-05","","10028.0703125","191","194","742.725","","1.07947742938995","2.57999992370605","","172","","152","163","","","0.688872621023483","50.99","60","4","0","0","0","","","","","","63","0","0","0","0","","","","","","5","7"
"Aerobic Swim","Swim","Use fins and snorkel for entire warm up 200m freestyle (with fins) 4x50 of Fiddle Faddle Drill Swap paddle and fins to the other side after 2x50's. Feel for the cross-connection across the body 4x50 of 25 Single Arm (Kick Timing) Drill / 25 Swim Take a lot of time during the reach phase of the stroke so you can lengthen through your upper body and arm to help with the serape effect. Focus on kicking at the correc time on each leg 4x50 freestyle (focused on catch and kick going together on the same side) Total: 800m Workout #3 15x100 @ 75% effort w/ 0:30 SR - Similar to the previous workout, find your rhythm and then settle into it so you're holding the same time throughout the set. Total: 1.4km","1","2200","2023-01-06","","2000","","","","","0.659742225541009","0.838222967309304","","23","","","","","","0.817675079916737","36.07","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","2.5","","2023-01-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run of the Bike","Run","","0.5","","2023-01-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
