"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Aerobic Bike","Bike","","1","","2023-01-02","","30705.609375","166","322","603.075","","1.00361108779907","8.4980001449585","","78","","125","139","","","0.655840932448021","42.76","0","60","0","0","0","","","","","","59","1","0","0","0","","","","","","",""
"Running","Run","","0.5","","2023-01-02","","5008.9501953125","267","321","514.248","","0.534569144248962","2.6029999256134","","172","","147","157","","","0.67079145495942","23.68","16","12","4","0","0","","","","","","25","0","0","0","0","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-01-02","","1800","","","","","0.777713888888889","0.642909953317594","","","","119","141","","","0.602961353094934","31.14","38","0","0","0","0","","","","","","","","","","","","","","","","",""
"Bike Aerobic Speed","Bike","","1.25","","2023-01-03","","37837.91015625","173","309","785.845","","1.25638890266418","8.36499977111816","","76","","130","142","","","0.687679806330863","58.91","0","75","0","0","0","","","","","","54","20","1","0","0","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-01-04","","2000","","","","","0.648601112895542","0.852878464818763","","21","","115","131","","","0.603098201518755","25.97","30","0","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","0.5","","2023-01-05","","5009.64990234375","267","385","511.768","","0.530974149703979","2.62100005149841","","170","","143","155","","","0.677636638446821","24.01","20","11","1","0","0","","","","","","26","0","0","0","0","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-01-05","","30646.859375","166","343","599.765","","1.00361108779907","8.48200035095215","","77","","123","136","","","0.652301124194399","42.27","2","58","0","0","0","","","","","","58","1","0","0","0","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-01-06","","2000","","","","","0.643300557136536","0.859475719810915","","21","","115","128","","","0.878477800997783","43.61","29","0","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","0.5","","2023-01-07","","5007.330078125","260","349","515.58","","0.551116108894348","2.5239999294281","","169","","145","172","","","0.658912007502642","23.62","17","14","1","0","0","","","","","","20","0","0","0","0","","","","","","",""
"Aerobic Bike","Bike","","2.5","","2023-01-07","","70260.140625","163","334","1494.638","","2.54326462745667","7.6729998588562","","76","","115","145","","","0.646733069831985","104.65","3","150","0","0","0","","","","","","143","6","2","1","2","","","","","","",""
"Aerobic Bike with Intervals","Bike","","2","","2023-01-08","","59188.19140625","172","352","1243.814","","2.0069375038147","8.19200038909912","","80","","129","147","","","0.681075576273593","92.9","1","119","1","0","0","","","","","","96","22","1","0","1","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-01-09","","2000","","","","","0.671104168626997","0.822706705059646","","20","","111","123","","","0.602875678478841","26.92","24","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-01-09","","30676.75","166","329","601.869","","1.00361108779907","8.48999977111816","","76","","121","132","","","0.655396711537881","42.79","10","50","0","0","0","","","","","","58","1","0","0","0","","","","","","",""
"Running","Run","","0.5","","2023-01-09","","5010.009765625","268","358","509.45","","0.526679694652557","2.64199995994568","","171","","140","152","","","0.675845074479381","23.66","25","6","0","0","0","","","","","","26","0","0","0","0","","","","","","",""
"Bike Aerobic Speed","Bike","","1.25","","2023-01-10","","35657.83984375","167","305","795.054","","1.31663405895233","7.52199983596802","","74","","127","141","","","0.687461681652643","58.82","3","76","0","0","0","","","","","","56","21","1","0","1","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-01-11","","2275","","","","","0.741924447483487","0.846984363365599","","21","","115","130","","","0.602150147088504","29.75","33","0","0","0","0","","","","","","","","","","","","","","","","",""
"Zwift - 5K Loop in Watopia","Run","","0.5","","2023-01-12","","3326.669921875","0","0","","","0.335277765989304","2.75600004196167","","0","","110","141","","","0.706068718112245","18.29","20","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-01-12","","30554.330078125","164","308","598.532","","1.00877249240875","8.41300010681152","","77","","112","144","","","0.652204609192638","42.49","0","60","0","0","0","","","","","","57","2","1","0","1","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-01-13","","2000","","","","","0.652007225354512","0.847098686997035","","21","","114","134","","","0.866746926779347","42.46","28","0","0","0","0","","","","","","","","","","","","","","","","",""
"","Run","","0.5","","2023-01-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
